cand_name,constituency,state,party_name,cand_id,spl_attribute_id
Amit Shah,Gandhinagar,Gujarat,BJP,cand5189,p1
Rajnath Singh,Lucknow,Uttar Pradesh,BJP,cand1434,p2
Smriti Zubin Irani,Amethi,Uttar Pradesh,BJP,cand1611,p3
Asaduddin Owaisi,Hyderabad,Telangana,AIMIM,cand4116,p4
Rahul Gandhi,Rae Bareli,Uttar Pradesh,INC,cand1597,p5
Narendra Modi,Varanasi,Uttar Pradesh,BJP,cand260,p6
Kiren Rijiju,Arunachal West,Arunachal Pradesh,BJP,cand8293,p7
Rajeev Chandrasekhar,Thiruvananthapuram,Kerala,BJP,cand6354,p8
Nitin Jairam Gadkari,Nagpur,Maharashtra,BJP,cand8327,p9
Piyush Goyal,Mumbai North,Maharashtra,BJP,cand2423,p10
Shivraj Singh Chouhan,Vidisha,Madhya Pradesh,BJP,cand4630,p11
Anurag Singh Thakur,Hamirpur,Himachal Pradesh,BJP,cand361,p12
Rahul Gandhi,Wayanad,Kerala,INC,cand7055,p13
Omar Abdullah,BARAMULLA,Jammu and Kashmir,National Conference,cand2051,p14
Chirag Paswan,Hajipur,Bihar,Lok Janshakti Party,cand2028,p15
Madhavi Latha,Hyderabad,Telangana,BJP,cand3321,p16
Asaduddin Owaisi,Hyderabad,Telangana,AIMIM,cand4116,p17
Jyotiraditya Scindia,Guna,Madhya Pradesh,BJP,cand5915,p17
Akhilesh Yadav,Kannauj,Uttar Pradesh,Samajwadi Party,cand3140,p18
Mahua Moitra,Krishnanagar,West Bengal,TMC,cand4782,p19
Giriraj Singh,Begusarai,Bihar,BJP,cand4615,p20
Y S Sharmila,Kadapa,Andhra Pradesh,YSRTP,cand4344,p21
Basavaraj Bommai,Haveri,Karnataka,BJP,cand4785,p22
Dimple Yadav,Mainpuri,Uttar Pradesh,Samajwadi Party,cand4581,p23
Supriya Sule,Baramati,Maharashtra,NCP,cand5604,p24
Digvijaya Singh,Rajgarh,Madhya Pradesh,Congress,cand5893,p25
N Kiran Kumar Reddy,Rajampet,Andhra Pradesh,BJP,cand2730,p26
HD Kumaraswamy,Mandya,Karnataka,JD(S),cand6465,p27
Shashi Tharoor,Thiruvananthapuram,Kerala,Congress,cand6978,p28
Bhupesh Baghel,Rajnandgaon,Chhattisgarh,Congress,cand7178,p29
Gajendra Singh Shekhawat,Jodhpur,Rajasthan,BJP,cand7319,p30
Dayanidhi Maran,Chennai Central,Tamil Nadu,DMK,cand8026,p31
K Annamalai,Coimbatore,Tamil Nadu,BJP,cand7542,p32
A Raja,Nilgiris,Tamil Nadu,DMK,cand7663,p33
Maneka Gandhi,Sultanpur,Uttar Pradesh,BJP,cand2376,p34
Mehbooba Mufti,Anantnag,Jammu and Kashmir,PDP,cand5417,p35
Manohar Lal Khattar,Karnal,Haryana,BJP,cand1160,p36
Naveen Jindal,Kurukshetra,Haryana,BJP,cand2082,p37
